Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
13/4/2001,435.5,444,431.25,435.25,51883
20/4/2001,434,436.25,426.5,429.25,69262
27/4/2001,428.75,430,421.5,422.75,96307
4/5/2001,423.5,444.5,421.5,442.25,113791
11/5/2001,441.5,442.25,434,435.75,120527
18/5/2001,436,453.75,435.75,449.5,156573
25/5/2001,448,453.5,442.25,447.25,119617
1/6/2001,448,460.5,436,455,136755
8/6/2001,454,468.5,448.75,466.5,143626
15/6/2001,465,475.75,457,458.5,150296
22/6/2001,458.5,472.5,454,454.5,135026
29/6/2001,454.25,488,450,482.5,101692
6/7/2001,471.75,493,471.75,488.25,70254
13/7/2001,485.5,529.75,482,526.5,96778
20/7/2001,521.5,538,494,496,73729
27/7/2001,490.25,520,489.5,515.5,71498
3/8/2001,515,517.5,485,492.25,58673
10/8/2001,493.5,523.75,489,516,32258
17/8/2001,517.5,524,498,504.25,28030
