week,dates,price_next_week,sum_c_vec,sum_tf_vec,news_price,MACD,MACD_SIGNAL,MACD_DIFF,TAS_K,TAS_D,TAS_DS,TAS_DSS,CMCI,RSI,BB_MA,BB_UPPER,BB_LOWER,BB_WIDTH,BB_PERCENT,Area Harvested_Million Acres,Area Planted_Million Acres,Average Farm Price_US Dollars/Bushel,Begining Stocks_Million Bushels,Crushing_Million Bushels,Ending Stocks_Million Bushels,Exports_Million Bushels,Imports_Million Bushels,Production_Million Bushels,Residual Use_Million Bushels,Seed Use_Million Bushels,Total demand_Million Bushels,Total Supply_Million Bushels,Yield_Bushels/Acre
วันที่ 3-6 พฤษภาคม 2559 ,201618,1,82,4.7849454367988935,0,31.085177155999997,28.77172743,2.3134497258,84.4212728,87.399289384,86.13223560399999,85.25799602800001,83.20443929000001,69.325220114,983.7625,1065.1249652000001,902.4000347799999,16.553714202000002,0.7855332398,81.8,82.7,8.75,191.0,1870.0,445.0,1705.0,30.0,3929.0,34.0,95.0,3705.0,4150.0,48.0
วันที่ 9-13 พฤษภาคม 2559 ,201619,1,100,5.9050876499583005,0,31.957450662000003,30.263569392,1.6938812668,86.17137556600001,83.806840254,83.978181564,84.72974060600001,144.724456054,68.508358372,1013.555,1080.0661728,947.0438271200001,13.126084116000001,0.8849047188,81.4,82.2,9.1,400.0,1915.0,305.0,1885.0,30.0,3800.0,30.0,95.0,3925.0,4230.0,46.7
วันที่ 16-19 พฤษภาคม 2559 ,201620,0,100,5.9311195379339825,0,31.524189210000003,31.635536786,-0.11134757660000003,84.791811844,85.309356078,85.61631652,85.27408447,64.65414690600001,66.734766458,1038.7575000000002,1094.915804,982.59919598,10.813239202,0.8061948264,81.4,82.2,9.1,400.0,1915.0,305.0,1885.0,30.0,3800.0,30.0,95.0,3925.0,4230.0,46.7
วันที่ 23-27 พฤษภาคม 2559 ,201621,1,104,5.822111884995598,1,25.325708122,28.671384282,-3.3456761606,77.07734031999999,77.757869114,80.90425194,82.33008389599999,51.729189098000006,62.21568747599999,1054.3899999999999,1101.2389924,1007.5410076000001,8.887962405,0.701322331,81.4,82.2,9.1,400.0,1915.0,305.0,1885.0,30.0,3800.0,30.0,95.0,3925.0,4230.0,46.7
วันที่ 30 พฤษภาคม- 3 มิถุนายน2559,201622,1,94,5.497441418617001,0,26.0801182225,26.3277326,-0.24761437750000004,87.740267955,85.5192517975,80.52872851250001,79.322301325,188.03858165,67.826550275,1069.1687499999998,1117.80451025,1020.5329897500001,9.09423294025,0.94197723175,81.4,82.2,9.1,400.0,1915.0,305.0,1885.0,30.0,3800.0,30.0,95.0,3925.0,4230.0,46.7
วันที่ 6-10 มิถุนายน 2559,201623,0,105,5.54055065594006,0,34.718955748,29.993904169999997,4.7250515782,85.02267393,85.494269062,86.21307565800001,85.69913427,127.30445101999999,73.73319572,1092.8825000000002,1159.8243882000002,1025.9406118000002,12.238299696,1.0197392936,81.4,82.2,9.5,370.0,1915.0,260.0,1900.0,30.0,3800.0,30.0,95.0,3940.0,4200.0,46.7
วันที่ 13-17 มิถุนายน 2559,201624,0,94,5.911299151446228,0,35.354422240000005,34.430851414,0.9235708243999999,69.21212120999999,77.418016774,82.147989666,83.58709552600001,35.969415357,66.14050320999999,1116.825,1202.3879642,1031.2620358,15.323398874,0.7385550308,81.4,82.2,9.5,370.0,1915.0,260.0,1900.0,30.0,3800.0,30.0,95.0,3940.0,4200.0,46.7
วันที่ 20-24 มิถุนายน 2559 ,201625,1,92,5.690442957809436,0,22.659302828,29.477382147999997,-6.8180793178000005,46.789138674,57.872059716,65.784099602,69.605125282,-95.15005263200001,53.317566404000004,1134.635,1202.4379282,1066.8320718,11.957041302,0.4383337598,81.4,82.2,9.5,370.0,1915.0,260.0,1900.0,30.0,3800.0,30.0,95.0,3940.0,4200.0,46.7
วันที่ 27 มิถุนายน-1 กรกฎาคม 2559 ,201626,0,96,5.450761430652328,0,15.061116162000001,20.475472832,-5.4143566722,55.046784532000004,46.837548538,48.446538743999994,51.062516024000004,29.976597003400002,57.82044826399999,1146.6225,1189.6710374,1103.5739626,7.510934488399999,0.5882196262,81.4,82.2,9.5,370.0,1915.0,260.0,1900.0,30.0,3800.0,30.0,95.0,3940.0,4200.0,46.7
 วันที่ 4-8 กรกฎาคม 2559,201627,0,95,5.661350885439015,0,4.759823609,13.77130559625,-9.011481985,15.177451808499999,36.5976016725,44.977302985,46.0757297575,-158.084381625,42.6254671975,1143.20625,1197.76462625,1088.6478737500001,9.551818546,-0.01440307875,81.4,82.2,9.5,370.0,1915.0,260.0,1900.0,30.0,3800.0,30.0,95.0,3940.0,4200.0,46.7
 วันที่ 11-15 กรกฎาคม 2559,201628,0,107,6.0383158211780135,0,-5.743982651800001,2.6806313222,-8.4246139748,33.305069048,26.953072968000004,27.40754771,30.519116714,-52.4856313342,45.955965746,1124.85,1189.4011166,1060.2988834,11.477275688,0.2455731926,83.0,83.7,9.5,350.0,1925.0,290.0,1920.0,30.0,3880.0,30.0,95.0,3970.0,4260.0,46.7
 วันที่ 18-22 กรกฎาคม 2559,201629,0,89,5.375146802814156,0,-16.4918448898,-7.305994506,-9.1858503828,8.7674300804,18.8886615844,26.574357287999998,27.736553786,-131.25752132,38.462350084,1104.09,1181.9399767999998,1026.2400232,14.113848424,0.0788132788,83.0,83.7,9.5,350.0,1925.0,290.0,1920.0,30.0,3880.0,30.0,95.0,3970.0,4260.0,46.7
 วันที่ 1-5 สิงหาคม 2559,201631,1,86,4.889662323269927,0,-32.641012956,-27.935465750000002,-4.7055472064,7.2333231364,10.337767359,10.527692430600002,9.869194996400001,-92.967645978,36.554473514,1037.9550000000002,1127.8730682,948.0369318400001,17.329915596,0.1625305198,83.0,83.7,9.5,350.0,1925.0,290.0,1920.0,30.0,3880.0,30.0,95.0,3970.0,4260.0,46.7
 วันที่ 9-11 สิงหาคม 2559 ,201632,1,102,5.446433883396315,0,-26.066968612,-28.622560494,2.5555918842,25.528626464000002,18.306261912,13.162553257999999,11.876389338,28.4032212002,43.074389184,1014.1074999999998,1084.484839,943.7301610799999,13.861790566000002,0.41185653680000006,83.0,83.7,9.1,255.0,1940.0,330.0,1950.0,30.0,4060.0,31.0,95.0,4016.0,4346.0,48.9
 วันที่ 15-19 สิงหาคม 2559 ,201633,0,91,5.4329832527189925,0,-13.5654188524,-21.288034646,7.722615793200001,75.968241014,52.717848658,35.827532317999996,29.373805788,120.65731425999999,50.477850078,1001.85,1040.5680894000002,963.1319106999999,7.7291837372000005,0.8205444258,83.0,83.7,9.1,255.0,1940.0,330.0,1950.0,30.0,4060.0,31.0,95.0,4016.0,4346.0,48.9
 วันที่ 22-25 สิงหาคม 2559,201634,0,89,5.307738361622818,0,-5.5256870038,-11.6964049932,6.17071799,70.65830721,83.053768244,76.915297118,70.10478588999999,19.231906642000002,47.604489082,1006.7774999999999,1049.4916230000001,964.06337704,8.4851188222,0.6328336336,83.0,83.7,9.1,255.0,1940.0,330.0,1950.0,30.0,4060.0,31.0,95.0,4016.0,4346.0,48.9
 วันที่ 29 สิงหาคม-2 กันยายน2559,201635,1,86,4.962837688630147,0,-14.545372058999998,-11.1883448742,-3.3570271849999997,11.8999371018,30.114747624,54.497166529999994,64.37232484,-146.25513184000002,33.44968262,1004.2774999999999,1052.1914416,956.3635584,9.5435447604,0.0535970454,83.0,83.7,9.1,255.0,1940.0,330.0,1950.0,30.0,4060.0,31.0,95.0,4016.0,4346.0,48.9
 วันที่ 5-9 กันยายน 2559,201636,0,87,5.106951011891738,0,-17.8087217125,-15.5387201975,-2.2700015135,34.59232614,20.5150167625,17.870630115,21.920385359999997,-39.751507055,41.525062755,997.64375,1057.4487745000001,937.838725525,11.9894777875,0.29354015075,83.0,83.7,9.1,255.0,1940.0,330.0,1950.0,30.0,4060.0,31.0,95.0,4016.0,4346.0,48.9
 วันที่ 12-16 กันยายน 2559 ,201637,1,103,5.559314651552436,-1,-17.245882848,-16.465060916,-0.780821935,15.8273381294,24.153477218,25.84080265,24.37909555,-60.1301949984,38.104859751999996,986.4325000000001,1049.9297646,922.93523548,12.874072598000001,0.24292173460000002,83.0,83.7,9.05,195.0,1950.0,365.0,1985.0,30.0,4201.0,31.0,95.0,4061.0,4426.0,50.6
 วันที่ 19-23 กันยายน 2559 ,201638,0,98,6.006945366979249,0,-11.2855411398,-14.560871,3.2753298616000004,39.199532034,31.163455768,24.293512409999998,23.400747868,59.21308365,47.340110402,971.225,1013.10829674,929.34170318,8.616947009,0.5220275258,83.0,83.7,9.05,195.0,1950.0,365.0,1985.0,30.0,4201.0,31.0,95.0,4061.0,4426.0,50.6
 วันที่ 3-7 ตุลาคม 2559 ,201640,0,96,5.299345305203179,0,-8.1252819398,-10.2605841162,2.1353021765999998,46.166666668,41.55,33.94823582,31.751309271999997,-1.2619077460000008,47.022068936,961.4625,988.28948714,934.6355128600001,5.580196750800001,0.5022261522,83.0,83.7,9.05,195.0,1950.0,365.0,1985.0,30.0,4201.0,31.0,95.0,4061.0,4426.0,50.6
 วันที่ 10-14 ตุลาคม 2559 ,201641,1,99,5.913161650210403,0,-6.8925786222,-8.2171786452,1.3246000227999999,34.333333333999995,35.366666668,39.62,40.41369614599999,-3.4384996612000007,45.151993216,959.7225000000001,983.53887344,935.9061265600001,4.9632198270000005,0.39301789519999997,83.0,83.7,9.05,197.0,1950.0,395.0,2025.0,30.0,4269.0,31.0,95.0,4101.0,4496.0,51.4
 วันที่ 17-21 ตุลาคม 2559 ,201642,1,107,6.379495828926239,0,-1.1329798274,-4.896581858199999,3.7636020306,78.829784902,60.860013444,46.24046178,41.892856222,145.76345688,55.457333096,959.95,982.27499022,937.6250097799999,4.6511383038,0.9062745652,83.0,83.7,9.05,197.0,1950.0,395.0,2025.0,30.0,4269.0,31.0,95.0,4101.0,4496.0,51.4
 วันที่ 25-28 ตุลาคม 2559 ,201643,0,100,5.7971700615770105,0,6.47907684,1.0498613689999998,5.4292154712,88.569948962,86.616742832,79.334057822,73.719294778,133.84198666,62.700138638,968.5424999999999,1001.1311251999999,935.95387486,6.7254819696,1.0116118994,83.0,83.7,9.05,197.0,1950.0,395.0,2025.0,30.0,4269.0,31.0,95.0,4101.0,4496.0,51.4
วันที่ 31 ตุลาคม-4 พฤศจิกายน2559 ,201644,1,91,5.444561111622587,0,8.448288819999998,6.1806020764000005,2.2676867435999997,66.70694864,76.173531466,83.26641418599999,84.93368093400001,16.565335984,55.24750138,978.53,1018.0379810000001,939.0220190800001,8.0754672844,0.6747855504,83.0,83.7,9.05,197.0,1950.0,395.0,2025.0,30.0,4269.0,31.0,95.0,4101.0,4496.0,51.4
 วันที่ 7-11 พฤศจิกายน 2559,201645,0,97,5.710138603268712,0,7.209202402599999,7.061900844,0.14730155899999997,67.152446792,69.12391253199999,69.619913494,71.32728393,17.227911157199998,55.418097524,988.6274999999999,1018.662933,958.5920671399999,6.0793638882000005,0.6146798525999999,83.0,83.7,9.2,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 14-18 พฤศจิกายน 2559,201646,1,102,5.92412815863729,0,3.7545429142000004,5.5661549742,-1.8116120602000003,32.645331608,42.073507224000004,55.65345750600001,60.597503724,-74.07731893799999,50.781824352,993.7950000000001,1013.2130734,974.3769267600001,3.908135771,0.3686393752,83.0,83.7,9.2,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 21-25 พฤศจิกายน 2559,201647,1,107,6.038551951546088,0,8.700381106750001,5.95021543625,2.75016567125,97.0413897825,65.8061692075,47.4314686425,44.612852204999996,174.123563625,67.233814235,998.7875,1026.1369895,971.4380103,5.474689286749999,1.1157327802500001,83.0,83.7,9.2,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 28 พฤศจิกายน - 2 ธันวาคม2559,201648,1,102,6.228550910471958,0,14.765655756000001,10.903458748,3.8621970086,69.47075208800001,83.769349554,81.84211516,76.000678338,82.703193552,63.17115772,1007.8375,1053.2884390000002,962.3865608600001,9.0189146368,0.8325181832,83.0,83.7,9.2,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 6 - 9 ธันวาคม 2559,201649,0,86,5.246817780304168,0,13.956949412,13.14764576,0.8093036532,73.20334262,70.06128133600001,72.264260138,75.272898024,28.263305414,60.81844557000001,1018.6924999999999,1067.2894362000002,970.09556364,9.5408795386,0.7290760396,83.0,83.7,9.45,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 13 -16 ธันวาคม 2559 ,201650,0,91,5.475138501985515,0,9.337766033200001,11.66621409,-2.3284480582000002,58.623036477999996,62.69436975,67.485334442,68.714544806,-70.197891508,53.71124455,1028.965,1065.3508324,992.5791673800001,7.076169381,0.5101038586,83.0,83.7,9.45,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 19-23 ธันวาคม 2559,201651,0,85,5.380249261721082,0,1.9858531259999999,7.0184081702,-5.032555044,9.396834673,32.2778736288,47.606328332,53.227682279999996,-166.130826846,42.551535346,1032.0,1058.3581196,1005.64188036,5.1106381416,-0.0313899106,83.0,83.7,9.45,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 26 - 29 ธันวาคม 2559 ,201652,1,97,5.941064833468538,0,-3.23089265525,1.18225839375,-4.413151049,23.73310811,14.921152953,17.310204085,22.697115125,-60.2577571725,45.8674017075,1023.36875,1056.69790975,990.03959,6.51398928375,0.230910891,83.0,83.7,9.45,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 3-6 มกราคม 2560 ,201701,1,97,5.137109198247274,-1,-4.29212603275,-2.00706780425,-2.2850582285,24.079766341750002,21.7969644525,19.0861152675,17.3376060775,-27.431661157500002,46.6524185,1016.70625,1050.1530149999999,983.25948485,6.5783515805,0.31512287975,83.0,83.7,9.45,197.0,1930.0,480.0,2050.0,30.0,4361.0,32.0,95.0,4108.0,4588.0,52.5
 วันที่ 9-13 มกราคม 2560 ,201702,1,97,6.038963419225488,-1,-1.5087545494,-2.52819475,1.0194402002,61.455130362,39.576687012,29.093064344000005,25.909948908,127.82309164,54.180413402,1011.2850000000001,1039.3842986,983.18570118,5.5568912342,0.7072786118,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 16-20 มกราคม 2560 ,201703,0,92,5.6037727301875515,0,10.51442612475,3.1358962677499997,7.378529856749999,90.8345493725,85.5575778275,65.4417276825,55.236633055,157.0424002,66.9448484275,1017.36875,1066.0601475,968.677352575,9.5687986855,1.0599962354999999,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 24-27 มกราคม 2560 ,201704,0,99,5.767063882647623,0,12.816342452,9.3010666992,3.5152757504,71.020245082,79.81330449,84.98886501,84.31263258999999,33.371817814399996,58.43948432,1029.6175,1086.637763,972.597237,11.076694392,0.7133969136,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 30 มกราคม - 3 กุมภาพันธ์ 2560,201705,1,95,6.1291809271679725,0,5.5569373192,8.4463652512,-2.889427933,42.101959354,51.398213664000004,62.992054931999995,68.551461214,-99.578664344,47.510631604000004,1038.2575000000002,1087.479351,989.0356488,9.4828650356,0.4134283344,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 6-10 กุมภาพันธ์ 2560 ,201706,0,92,5.475252203181686,0,4.0729978478,5.36398655,-1.2909887022,60.804181973999995,52.629669354,48.675451302,49.064100274,29.926799098000004,55.405836095999994,1046.4924999999998,1080.7861971999998,1012.1988028,6.5559096064,0.5501914164,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 13-17 กุมภาพันธ์ 2560,201707,0,93,5.592455637813274,0,5.2094962004,5.3171413880000005,-0.1076451876,51.141610798,58.800221776,58.866802815999996,57.254495082000005,38.340568978,52.551220288,1047.825,1074.8541414,1020.7958586000001,5.1584008486,0.483653617,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 20-24 กุมภาพันธ์ 2560,201708,1,90,5.200682166691384,0,-1.0443888515,2.860435393,-3.90482424475,10.2851715,28.9940797675,45.142283827499995,50.905931422500004,-133.11877565999998,41.6933444775,1040.653125,1067.29060575,1014.01564425,5.120164372,0.08669083899999999,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 27 กุมภาพันธ์ - 3 มีนาคม2560,201709,0,91,5.522133276732051,0,-3.3795938966000003,-1.1777533566,-2.2018405396,46.0869565228,26.417685806999998,21.595832558,24.016683186,-15.602125268,48.850593678,1036.77,1067.8307964,1005.7092036,5.9918314100000005,0.43090057860000003,82.7,83.4,9.5,197.0,1930.0,420.0,2050.0,25.0,4307.0,33.0,95.0,4108.0,4528.0,52.1
 วันที่ 6-10 มีนาคม 2560 ,201710,0,91,5.379776147797186,0,-2.9711114453999996,-1.9853484475999998,-0.985762998,25.9396334902,43.414013654,43.579836656,39.485512888,-45.2740141568,44.451687636,1035.42,1067.1961154,1003.6438846799999,6.138170117,0.2657533508,82.7,83.4,9.6,197.0,1940.0,435.0,2025.0,25.0,4307.0,33.0,95.0,4093.0,4528.0,52.1
 วันที่ 13-17 มีนาคม 2560,201711,0,110,6.343216060852029,0,-8.3702871818,-5.218405976,-3.1518812059999997,10.0908811666,10.7662860734,21.292648118,27.87950791,-97.403238566,37.841073894,1023.8075000000001,1055.625779,991.9892211599999,6.2150086356,0.14231228840000001,82.7,83.4,9.6,197.0,1940.0,435.0,2025.0,25.0,4307.0,33.0,95.0,4093.0,4528.0,52.1
 วันที่ 20-24 มีนาคม 2560 ,201712,0,93,5.570116461620321,0,-10.2140189134,-8.2543569486,-1.9596619648,9.3327031178,11.651918761800001,10.9477380308,10.97181915,-104.46465748199998,35.718670426,1014.6575,1047.0681144,982.24688568,6.3893075232,0.180189619,82.7,83.4,9.6,197.0,1940.0,435.0,2025.0,25.0,4307.0,33.0,95.0,4093.0,4528.0,52.1
 วันที่ 27-31 มีนาคม 2560 ,201713,0,103,6.182456260105638,0,-15.078008943999999,-11.671918284,-3.4060906562,2.8774513863999998,4.493757260200001,7.5715838132,8.927255130999999,-157.07355172,25.35619219,1002.8475000000001,1045.0973936,960.5976063599999,8.426915812,0.0445101714,82.7,83.4,9.6,197.0,1940.0,435.0,2025.0,25.0,4307.0,33.0,95.0,4093.0,4528.0,52.1
 วันที่ 3-7 เมษายน 2560 ,201714,1,123,5.601116070453648,0,-20.832473074,-16.800140512000002,-4.0323325606,5.0654624454,3.200328214,2.9499896208,3.3239189342000004,-111.82793133800001,21.850152266,981.9649999999999,1030.3954112,933.53458866,9.8657157342,0.0722074188,82.7,83.4,9.6,197.0,1940.0,435.0,2025.0,25.0,4307.0,33.0,95.0,4093.0,4528.0,52.1
