Dates,MACD,MACD_SIGNAL,MACD_DIFF,TAS_K,TAS_D,TAS_DS,TAS_DSS,CMCI,RSI,BB_MA,BB_UPPER,BB_LOWER,BB_WIDTH,BB_PERCENT
7/1/2002,-4.482232262,-4.119665069,-0.362567193,47.24409449,22.51394938,11.00788141,9.180510456,19.70068585,47.50490147,432.15,446.4349571,417.8650429,6.611110551,0.450997403
8/1/2002,-3.602877173,-4.01630749,0.413430317,60.62992126,33.63993363,16.42794014,11.94381659,67.86945084,52.26944136,431.825,445.5281931,418.1218069,6.346641838,0.615848912
9/1/2002,-2.513890968,-3.715824186,1.201933218,79.16666667,47.95811545,25.2657478,17.56718978,109.9190933,56.74592974,431.5375,444.3117661,418.7632339,5.920350432,0.811661739
10/1/2002,-2.190452876,-3.410749924,1.220297048,57.75862069,54.47167164,34.44514473,25.37961089,61.15753773,49.04097259,431.0125,442.673841,419.351159,5.411138214,0.563779114
11/1/2002,-1.0744777,-2.943495479,1.869017779,94.7826087,67.91638236,45.30001049,35.00363434,120.3320995,58.20758593,431.2875,443.7777712,418.7972288,5.792085889,0.968864919
14/1/2002,0.111251885,-2.332546006,2.443797891,84.3537415,75.33831176,55.86488297,45.20334606,175.8106694,60.91191087,432,446.1950696,417.8049304,6.571791466,1.019546591
15/1/2002,0.979145413,-1.670207722,2.649353135,82.31292517,79.67491254,65.07187875,55.4122574,130.9328579,60.07463755,432.6125,448.0587576,417.1662424,7.140920633,0.933357397
16/1/2002,2.166479141,-0.90287035,3.069349491,98,83.44157921,72.1685715,64.36844441,126.7165788,64.61435592,433.425,451.0999116,415.7500884,8.155926215,1.039606659
17/1/2002,2.932436003,-0.135809079,3.068245082,90.32258065,89.9543712,79.26511142,72.16852056,110.6110255,62.55215169,434.125,453.3151668,414.9348332,8.84084849,0.933164553
18/1/2002,3.080323163,0.507417369,2.572905794,76.77419355,86.35268817,82.95237258,78.12868517,73.23943826,56.70517593,434.8,454.5842109,415.0157891,9.100372988,0.770417659
21/1/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/1/2002,2.642567255,0.934447346,1.708119908,60,81.48193987,84.1810982,82.13286073,25.24111732,50.42111712,435,454.8689456,415.1310544,9.135147411,0.600659594
23/1/2002,1.830734936,1.113704864,0.717030072,45.80645161,74.18064516,83.08224472,83.4052385,-40.31156412,45.79642205,434.9,454.7780029,415.0219971,9.141413161,0.464785195
24/1/2002,1.472966198,1.185557131,0.287409067,55.48387097,65.67741935,79.52941275,82.26425189,-56.08785916,49.21657766,434.9875,454.8906876,415.0843124,9.151153796,0.556837629
25/1/2002,0.657358597,1.079917424,-0.422558827,38.70967742,55.35483871,72.60950625,78.40705458,-93.29173375,44.03050764,435.1125,454.8757709,415.3492291,9.084211949,0.389631124
28/1/2002,0.030801546,0.870094249,-0.839292702,39.35483871,47.87096774,64.91316217,72.35069372,-126.4332107,44.27372709,435.2875,454.8388906,415.7361094,8.983207933,0.390353068
29/1/2002,-0.659871944,0.56410101,-1.223972954,32.90322581,42.4516129,57.10709677,64.8765884,-115.3898962,42.29441344,435.5,454.6552865,416.3447135,8.796916866,0.317282816
30/1/2002,-1.253307049,0.200619398,-1.453926447,30.96774194,39.48387097,50.16774194,57.39600029,-112.1365905,41.69222891,435.8375,454.1795794,417.4954206,8.416934914,0.279536991
31/1/2002,-1.504536182,-0.140411718,-1.364124464,33.56164384,35.09942554,44.05214317,50.44232729,-81.51601989,44.52745752,436.4375,453.1519212,419.7230788,7.659479842,0.314905346
1/2/2002,-1.963424692,-0.505014313,-1.458410379,13.95348837,30.14818773,39.01081298,44.4102327,-80.48563617,41.48603805,436.575,452.9190356,420.2309644,7.487389617,0.199431639
4/2/2002,-1.722229938,-0.748457438,-0.9737725,31.66666667,28.61055332,35.15873009,39.40722875,-41.62441408,49.22299454,437.05,452.4898834,421.6101166,7.065499791,0.401229824
5/2/2002,-1.613348237,-0.921435598,-0.69191264,26.27118644,27.28414545,32.1252366,35.43159322,-16.37979562,48.04348398,437.15,452.4506536,421.8493464,7.000184642,0.356215292
6/2/2002,-1.888573705,-1.114863219,-0.773710486,10.16949153,23.12449537,28.85336148,32.04577606,-52.55751737,43.7529673,436.8,452.5936696,421.0063304,7.231533708,0.221407367
7/2/2002,-1.823424728,-1.256575521,-0.566849207,21.18644068,20.64945474,25.96336732,28.98065514,-35.68627531,47.22570496,436.3875,452.307986,420.467014,7.296490397,0.338651283
8/2/2002,-1.931089492,-1.391478315,-0.539611177,13.55932203,20.57062147,24.04785407,26.28819429,-49.92640283,45.147493,436.2125,452.3751692,420.0498308,7.410456683,0.276877819
11/2/2002,-1.83389135,-1.479960922,-0.353930428,20.33898305,18.30508475,21.98676035,23.99932725,-10.33840971,47.36477061,435.6125,451.6128711,419.6121289,7.34614874,0.355862718
12/2/2002,-1.318036494,-1.447576037,0.129539542,38.13559322,20.6779661,20.66552448,22.23337964,156.0867183,52.76264921,435.0875,450.2592459,419.9157541,6.974112538,0.538311345
13/2/2002,-0.639597089,-1.285980247,0.646383158,49.15254237,28.47457627,21.73554066,21.4626085,226.7693639,55.78552178,434.7625,449.2482473,420.2767527,6.663751959,0.663522803
14/2/2002,-0.360026648,-1.100789527,0.74076288,38.13559322,31.86440678,23.97853107,22.12653207,136.3163872,52.18888169,433.95,445.9797548,421.9202452,5.544304541,0.595596296
15/2/2002,-0.05711503,-0.892054628,0.834939598,46.66666667,38.48587571,27.56158192,24.42521789,93.34998648,53.1889399,433.275,442.6889524,423.8610476,4.345486082,0.711122801
18/2/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/2/2002,0.260631851,-0.661517332,0.922149183,55.20833333,45.45974576,32.99251412,28.17754237,94.46277073,54.2201692,432.9125,440.85963,424.96537,3.671471711,0.835813055
20/2/2002,1.045070212,-0.320199823,1.365270035,90.90909091,56.0144453,40.05980996,33.53796867,164.1072395,60.53933341,433.2125,442.4106996,424.0143004,4.246506992,1.140750395
21/2/2002,1.56797696,0.057435534,1.510541426,86.36363636,63.4566641,47.05622753,40.03618387,134.5703155,59.23483501,433.7375,444.0700638,423.4049362,4.764431858,0.996609563
22/2/2002,1.740419831,0.394032393,1.346387438,73.86363636,70.60227273,54.80380072,47.30661274,102.189057,55.68151488,433.9375,444.6809573,423.1940427,4.951615065,0.840323407
25/2/2002,1.496716441,0.614569203,0.882147239,53.40909091,71.95075758,61.49677709,54.45226845,32.38831688,50.35809248,434.2375,444.9431936,423.5318064,4.930801038,0.617344102
26/2/2002,1.28872414,0.74940019,0.53932395,53.40909091,71.59090909,66.72300976,61.00786252,4.377104475,50.35809248,434.525,445.1761736,423.8738264,4.902444575,0.604448584
27/2/2002,1.589713372,0.917462826,0.672250545,80.45977011,69.50104493,69.42032968,65.88003885,75.02990598,56.75184181,435.2375,446.0858582,424.3891418,4.985029172,0.846250552
28/2/2002,1.249010196,0.9837723,0.265237896,48.27586207,61.88349007,69.10569488,68.41634477,-9.572901539,48.84726115,435.6375,445.9276348,425.3473652,4.72417312,0.505466401
1/3/2002,2.224254031,1.231868646,0.992385384,96.33027523,66.37681785,68.2606039,68.92887616,180.5555596,61.75479048,436.7,448.7784933,424.6215067,5.53171206,1.112659197
4/3/2002,2.923100294,1.570114976,1.352985318,91.96428571,74.08785681,68.68802375,68.68477418,178.2891718,61.2266025,437.9125,450.6052883,425.2197117,5.796951814,1.01554866
5/3/2002,3.935893232,2.043270627,1.892622605,96.2406015,82.65415893,70.90067372,69.28310046,189.5057691,65.22990527,439.075,454.1556996,423.9943004,6.8693046,1.102591408
6/3/2002,4.465165269,2.527649555,1.937515713,87.96992481,84.15618987,73.8317027,71.14013339,143.4884046,62.18744675,440.1625,456.3576189,423.9673811,7.358699963,0.942648804
7/3/2002,5.227812417,3.067682128,2.160130289,83.03030303,91.10707806,79.6764203,74.80293224,152.529025,65.35177082,441.7375,458.9874819,424.4875181,7.810059994,1.014855613
8/3/2002,6.244384258,3.703022554,2.541361704,94.15204678,90.67143237,84.53534321,79.34782207,147.3180887,68.73315798,443.45,462.8604353,424.0395647,8.754283612,1.067993443
11/3/2002,6.909853544,4.344388752,2.565464792,91.97530864,90.67363695,87.85249923,84.02142091,118.7796259,67.84189368,445.2375,465.5589634,424.9160366,9.128370098,0.980095838
12/3/2002,7.232829724,4.922076946,2.310752778,87.33333333,88.89218332,89.10010411,87.16264885,102.6568999,65.99862029,446.85,467.5118005,426.1881995,9.247756743,0.89686764
13/3/2002,7.36356229,5.410374015,1.953188275,84.44444444,88.18708725,89.90628359,88.95296231,73.32605695,65.36112826,448.175,469.340479,427.009521,9.445185014,0.844310658
14/3/2002,7.840762309,5.896451674,1.944310635,95.8041958,90.7418658,89.83324114,89.61320961,98.4488169,69.06208089,449.625,472.1447136,427.1052864,10.01710918,0.919077266
15/3/2002,8.42442885,6.402047109,2.022381741,95,90.91145644,89.88124595,89.87359023,115.510403,71.22163463,451.425,475.1057411,427.7442589,10.49155059,0.939703299
18/3/2002,7.848390626,6.691315812,1.157074813,65.40880503,85.59815572,88.86614971,89.52687893,52.91077998,57.64414699,452.5875,475.6451858,429.5298142,10.18927205,0.671580532
19/3/2002,7.546954517,6.862443553,0.684510964,72.95597484,82.72268402,87.63224985,88.79321517,10.76553536,59.75375108,453.85,476.3885226,431.3114774,9.932146118,0.714077919
20/3/2002,6.825921047,6.855139052,-0.029218005,60.37735849,77.90926683,85.57668577,87.35836177,-16.88585847,54.85031948,454.525,476.7696061,432.2803939,9.788067142,0.589347503
21/3/2002,6.24304957,6.732721156,-0.489671585,62.26415094,71.20125786,81.66856418,84.9591666,-38.03470626,55.44099151,455.2875,477.0775637,433.4974363,9.572001725,0.59092447
22/3/2002,6.134041438,6.612985212,-0.478943774,75.47169811,67.29559748,76.94539239,81.39688078,19.56392981,59.44100651,456.45,477.5915468,435.3084532,9.263466655,0.690383421
25/3/2002,5.819188441,6.454225858,-0.635037417,70.44025157,68.30188679,73.4861386,77.36669839,-2.89026527,57.32965377,457.7375,476.9738426,438.5011574,8.404966846,0.623789124
26/3/2002,5.924996623,6.348380011,-0.423383388,83.64779874,70.44025157,71.02965211,73.82039436,80.23163752,61.22332436,459.2875,476.3866776,442.1883224,7.44595819,0.747453421
27/3/2002,6.339233841,6.346550777,-0.007316936,96.22641509,77.61006289,70.96981132,71.82853401,165.0344614,64.54184524,460.7875,477.064228,444.510772,7.064743735,0.867472504
28/3/2002,6.870738968,6.451388415,0.419350553,89.63414634,83.08406197,73.34637214,71.78194519,185.9912322,66.69077041,462.8125,475.8881214,449.7368786,5.650504859,1.013837912
29/3/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/4/2002,7.168975304,6.594905793,0.574069512,85.92592593,85.17490754,76.92223415,73.74613921,131.4089833,66.0747047,464.025,477.176901,450.873099,5.668617425,0.945753051
2/4/2002,7.121508328,6.7002263,0.421282028,77.16535433,86.51992809,80.56584241,76.94481624,93.14974862,62.94380619,465.1375,477.430257,452.844743,5.285644358,0.82997073
3/4/2002,6.085783394,6.577337719,-0.491554325,33.03571429,76.3975112,81.75729434,79.74845697,-22.79782353,50.97761836,465.3625,477.226811,453.498189,5.098954462,0.347757699
4/4/2002,4.985591114,6.258988398,-1.273397284,21.10091743,61.37241166,78.50976409,80.27763361,-88.99518484,48.59834767,465.5875,476.7703831,454.4046169,4.803772922,0.205465043
5/4/2002,4.58531977,5.924254672,-1.338934902,39.39393939,51.32437027,72.15782575,77.47496139,-35.13513592,54.05659081,465.8875,476.7174065,455.0575935,4.649150926,0.482109726
8/4/2002,3.621171911,5.46363812,-1.842466209,18.18181818,37.77554872,62.67795399,71.11518128,-96.44696741,47.75529433,465.5125,476.8763407,454.1486593,4.88229239,0.169455943
9/4/2002,3.083777755,4.987666047,-1.903888292,30,28.34247786,51.04246394,61.95941456,-73.46645949,50.45070841,465.3375,476.8497489,453.8252511,4.94791368,0.322471698
10/4/2002,2.567770621,4.503686962,-1.935916341,27.27272727,27.18988046,41.2009378,51.64045191,-67.10119315,49.81203319,465.2,476.87326,453.52674,5.01859847,0.298685201
11/4/2002,1.934798985,3.989909367,-2.055110382,18.18181818,26.60606061,34.24766758,42.16368977,-83.61147759,47.64677481,464.9625,477.0126815,452.9123185,5.183291785,0.211103937
12/4/2002,1.656148284,3.52315715,-1.867008866,29.09090909,24.54545455,28.89188444,34.78016327,-75.70561084,50.43128645,464.5875,476.6407931,452.5342069,5.188815075,0.351181749
15/4/2002,1.059984365,3.030522593,-1.970538228,12.72727273,23.45454545,26.02768378,29.72241194,-73.90521385,46.44117744,463.8,475.8058319,451.7941681,5.177159084,0.195981084
16/4/2002,1.119286315,2.648275337,-1.528989022,37.27272727,24.90909091,25.34100639,26.75352487,-29.24434567,52.51072347,463.9375,475.851646,452.023354,5.136099584,0.471147743
17/4/2002,1.950713355,2.508762941,-0.558049586,73.63636364,34.18181818,26.73939394,26.03602804,96.12452121,59.78222557,464.425,477.0068321,451.8431679,5.41824068,0.850704091
18/4/2002,2.340569716,2.475124296,-0.13455458,62.72727273,43.09090909,30.03636364,27.37225466,120.870428,56.96425199,465.0125,477.5299628,452.4950372,5.383710245,0.709207732
19/4/2002,2.758940714,2.53188758,0.227053135,69.09090909,51.09090909,35.34545455,30.70707071,156.4786915,58.20197115,465.65,478.2271618,453.0728382,5.401980819,0.752441691
22/4/2002,2.93562522,2.612635108,0.322990113,63.63636364,61.27272727,42.90909091,36.0969697,123.0642748,56.69678881,465.95,478.688328,453.211672,5.467680219,0.678594868
23/4/2002,3.319801113,2.754068309,0.565732804,76.36363636,69.09090909,51.74545455,43.33333333,91.64751163,59.33913379,466.525,479.6216599,453.4283401,5.614558654,0.785378107
24/4/2002,4.021707569,3.007596161,1.014111408,96.36363636,73.63636364,59.63636364,51.43030303,120.8364628,63.14493361,467.1125,481.3782588,452.8467412,6.108061262,0.934168983
25/4/2002,4.087056415,3.223488212,0.863568204,75.67567568,76.22604423,66.26339066,59.21506962,89.91189628,57.36284575,467.175,481.5495435,452.8004565,6.153815367,0.737398844
26/4/2002,3.573160994,3.293422768,0.279738226,52.25225225,72.85831286,70.61687142,65.50554191,24.52572444,51.37545987,466.7375,480.5001987,452.9748013,5.897404293,0.527701689
29/4/2002,2.671127134,3.168963641,-0.497836507,31.53153153,66.43734644,71.64979525,69.51001911,-52.19004099,46.72890241,466.0375,479.3108521,452.7641479,5.696259234,0.338492192
30/4/2002,1.973851293,2.929941172,-0.956089878,33.33333333,57.83128583,69.3978706,70.55484575,-75.29787524,47.17629756,465.4875,478.4272401,452.5477599,5.559650966,0.374900888
1/5/2002,1.564602686,2.656873475,-1.092270789,40.54054054,46.66666667,64.0039312,68.35053235,-47.76449863,49.02062819,465.6125,478.4533284,452.7716716,5.515671697,0.446946569
2/5/2002,1.186250042,2.362748788,-1.176498746,38.73873874,39.27927928,56.61457821,63.33879334,-70.29279918,48.56411835,465.85,478.3643917,453.3356083,5.372712983,0.416096601
3/5/2002,0.67687119,2.025573268,-1.348702079,29.72972973,34.77477477,48.9978706,56.53879334,-119.9916117,46.24516358,465.6375,478.3117603,452.9632397,5.44383145,0.326912976
6/5/2002,0.389729682,1.698404551,-1.308674869,32.71028037,35.01052454,42.71250622,49.44165168,-82.18390988,47.85407839,465.875,478.1392774,453.6107226,5.265050666,0.372597467
7/5/2002,0.37969312,1.434662265,-1.054969145,42.99065421,36.94198872,38.5346468,43.41500787,-42.32784526,50.76364003,466.0875,478.1697959,454.0052041,5.184561239,0.475687568
8/5/2002,0.886021248,1.324934062,-0.438912813,67.28971963,42.29182453,37.65967837,39.63561046,21.62789205,56.88688907,466.6625,478.7209773,454.6040227,5.167964989,0.72131733
9/5/2002,1.611651306,1.382277511,0.229373795,83.17757009,51.17959081,40.03974068,38.74468861,88.91035747,60.35831826,467.575,479.635369,455.514631,5.158688545,0.859649029
10/5/2002,1.723052049,1.450432418,0.27261963,60.78431373,57.3905076,44.56288724,40.7541021,60.28259608,54.26848893,468.0625,479.8043855,456.3206145,5.017229749,0.614440734
