Dates,PX_LAST,PX_SETTLE,PX_VOLUME
20/9/2000,487.5,487.5,37146
21/9/2000,491.75,491.75,26713
22/9/2000,496,496,30568
25/9/2000,493.5,493.5,28983
26/9/2000,493.75,493.75,27919
27/9/2000,495.75,495.75,27724
28/9/2000,498.25,498.25,34143
29/9/2000,490.5,490.5,41636
2/10/2000,489.5,489.5,35725
3/10/2000,489,489,37213
4/10/2000,486.25,486.25,32889
5/10/2000,485,485,25697
6/10/2000,485,485,25536
9/10/2000,483,483,18511
10/10/2000,485.75,485.75,28340
11/10/2000,478,478,41242
12/10/2000,474.25,474.25,44812
13/10/2000,466,466,42275
16/10/2000,465,465,34518
17/10/2000,468.25,468.25,34798
18/10/2000,467.75,467.75,25472
19/10/2000,471.5,471.5,34524
20/10/2000,468.75,468.75,34510
23/10/2000,463,463,31065
24/10/2000,467.75,467.75,37420
25/10/2000,467,467,30329
26/10/2000,461.25,461.25,30264
27/10/2000,456.5,456.5,28422
30/10/2000,456,456,49060
31/10/2000,459.75,459.75,17629
1/11/2000,473.5,473.5,34354
2/11/2000,483.25,483.25,40569
3/11/2000,484.25,484.25,21864
6/11/2000,484.75,484.75,37886
7/11/2000,485.75,485.75,26632
8/11/2000,484,484,25070
9/11/2000,476.75,476.75,37465
10/11/2000,472.5,472.5,27442
13/11/2000,476.25,476.25,28640
14/11/2000,477.75,477.75,27233
15/11/2000,481.5,481.5,26203
16/11/2000,477.5,477.5,18293
17/11/2000,487.75,487.75,39100
20/11/2000,490.75,490.75,33267
21/11/2000,489,489,21052
22/11/2000,491,491,13065
23/11/2000,491,491,13065
24/11/2000,500.75,500.75,24284
27/11/2000,497.25,497.25,42215
28/11/2000,500.75,500.75,29379
29/11/2000,499.75,499.75,34052
30/11/2000,506,506,41862
1/12/2000,508,508,26820
4/12/2000,504.5,504.5,24915
5/12/2000,500.75,500.75,27477
6/12/2000,507,507,25667
7/12/2000,503,503,39082
8/12/2000,511.5,511.5,33143
11/12/2000,511,511,26266
12/12/2000,507.25,507.25,26489
13/12/2000,506.5,506.5,25167
14/12/2000,504.25,504.25,24365
15/12/2000,507.25,507.25,19765
18/12/2000,509.75,509.75,26568
19/12/2000,511.75,511.75,13593
20/12/2000,508,508,17063
21/12/2000,510,510,19150
22/12/2000,510.25,510.25,12426
25/12/2000,510.25,510.25,12426
26/12/2000,505.25,505.25,17348
27/12/2000,498.5,498.5,25396
28/12/2000,497.5,497.5,26507
29/12/2000,499.5,499.5,7213
1/1/2001,499.5,499.5,7213
2/1/2001,504.5,504.5,22572
3/1/2001,506.75,506.75,32748
4/1/2001,500.5,500.5,31941
5/1/2001,497.25,497.25,33208
8/1/2001,499,499,24994
9/1/2001,502.75,502.75,25540
10/1/2001,497.25,497.25,30999
11/1/2001,484.5,484.5,44629
12/1/2001,482.5,482.5,45413
15/1/2001,482.5,482.5,45413
16/1/2001,477.5,477.5,34572
17/1/2001,472.75,472.75,34873
18/1/2001,473.5,473.5,24410
19/1/2001,470.75,470.75,28124
22/1/2001,476.75,476.75,24756
23/1/2001,468.25,468.25,32409
24/1/2001,469.75,469.75,20059
25/1/2001,466,466,28650
26/1/2001,460.25,460.25,41923
29/1/2001,459.75,459.75,25167
30/1/2001,461,461,21211
31/1/2001,459.5,459.5,24522
1/2/2001,462.5,462.5,22537
2/2/2001,468.5,468.5,24061
5/2/2001,462.25,462.25,29952
6/2/2001,464.25,464.25,21043
7/2/2001,463.5,463.5,22269
8/2/2001,452.25,452.25,33382
9/2/2001,456.25,456.25,27675
12/2/2001,453.25,453.25,28591
13/2/2001,450,450,28856
14/2/2001,452,452,18778
15/2/2001,450.25,450.25,22002
16/2/2001,454,454,19144
19/2/2001,454,454,19144
20/2/2001,454,454,24288
21/2/2001,457.5,457.5,25151
22/2/2001,455,455,22312
23/2/2001,448,448,19044
26/2/2001,449.25,449.25,17400
27/2/2001,451.25,451.25,25149
28/2/2001,453.5,453.5,11317
1/3/2001,460,460,29285
2/3/2001,458,458,19318
5/3/2001,460,460,22495
6/3/2001,467,467,24973
7/3/2001,463,463,34252
8/3/2001,461,461,31129
9/3/2001,462,462,25128
12/3/2001,461,461,20601
13/3/2001,456.75,456.75,24053
14/3/2001,444,444,40099
15/3/2001,445.5,445.5,31782
16/3/2001,443,443,16546
19/3/2001,443.5,443.5,18085
20/3/2001,446.75,446.75,19900
21/3/2001,443.25,443.25,25080
22/3/2001,434.25,434.25,30282
23/3/2001,436.5,436.5,20356
26/3/2001,442,442,17290
27/3/2001,445.25,445.25,20978
28/3/2001,441.75,441.75,15375
29/3/2001,436.5,436.5,19282
30/3/2001,428.5,428.5,32809
2/4/2001,432.75,432.75,16828
3/4/2001,430.25,430.25,18956
4/4/2001,437.25,437.25,16207
5/4/2001,437.5,437.5,12077
6/4/2001,436,436,8739
9/4/2001,441.25,441.25,16456
10/4/2001,432.75,432.75,14378
11/4/2001,437.25,437.25,8641
12/4/2001,435.25,435.25,12408
13/4/2001,435.25,435.25,12408
16/4/2001,432.75,432.75,7985
17/4/2001,429.5,429.5,11613
18/4/2001,434,434,20538
19/4/2001,429.25,429.25,16523
20/4/2001,429.25,429.25,12603
23/4/2001,423.25,423.25,15677
24/4/2001,426,426,15391
25/4/2001,422,422,18151
26/4/2001,428.75,428.75,25351
27/4/2001,422.75,422.75,21737
30/4/2001,434.25,434.25,11351
1/5/2001,437.25,437.25,29928
2/5/2001,440.25,440.25,28805
3/5/2001,437.75,437.75,26680
4/5/2001,442.25,442.25,17027
7/5/2001,437.75,437.75,21597
8/5/2001,440.5,440.5,27008
9/5/2001,439.5,439.5,21478
10/5/2001,435,435,28454
11/5/2001,435.75,435.75,21990
14/5/2001,443.25,443.25,34045
15/5/2001,444,444,24021
16/5/2001,447.5,447.5,42805
17/5/2001,451,451,29104
18/5/2001,449.5,449.5,26598
21/5/2001,443.25,443.25,24490
22/5/2001,443.75,443.75,20851
23/5/2001,445.5,445.5,24236
24/5/2001,449.75,449.75,26694
25/5/2001,447.25,447.25,23346
28/5/2001,447.25,447.25,23346
29/5/2001,439.25,439.25,30644
30/5/2001,437.5,437.5,30213
31/5/2001,451,451,36354
1/6/2001,455,455,39544
4/6/2001,453,453,19199
5/6/2001,453.25,453.25,26353
6/6/2001,461.5,461.5,30174
7/6/2001,461.5,461.5,37533
8/6/2001,466.5,466.5,30367
11/6/2001,471.5,471.5,31783
12/6/2001,473.75,473.75,32959
13/6/2001,474,474,26365
14/6/2001,470.75,470.75,23048
15/6/2001,458.5,458.5,36141
18/6/2001,464,464,26618
19/6/2001,469.75,469.75,27444
20/6/2001,466,466,22785
21/6/2001,460.25,460.25,26785
22/6/2001,454.5,454.5,31394
25/6/2001,450.75,450.75,21656
26/6/2001,457,457,19697
27/6/2001,461.5,461.5,23504
28/6/2001,462.5,462.5,21400
29/6/2001,482.5,482.5,15435
2/7/2001,482.75,482.75,18729
3/7/2001,483.5,483.5,16284
4/7/2001,483.5,483.5,16284
5/7/2001,488,488,17349
6/7/2001,488.25,488.25,17892
9/7/2001,496.75,496.75,16143
10/7/2001,503,503,21258
11/7/2001,510.5,510.5,24179
12/7/2001,527,527,20868
13/7/2001,526.5,526.5,14330
16/7/2001,511,511,18724
17/7/2001,528,528,15194
18/7/2001,513.75,513.75,11119
19/7/2001,513,513,11496
20/7/2001,496,496,17196
23/7/2001,503.75,503.75,11991
24/7/2001,503.75,503.75,11809
25/7/2001,510.75,510.75,11390
26/7/2001,510.5,510.5,18698
27/7/2001,515.5,515.5,17610
30/7/2001,504,504,19327
31/7/2001,512.75,512.75,9457
1/8/2001,507.5,507.5,6179
2/8/2001,494.5,494.5,10942
3/8/2001,492.25,492.25,12768
6/8/2001,499,499,6291
7/8/2001,506.75,506.75,5496
8/8/2001,510.5,510.5,6789
9/8/2001,510.25,510.25,6881
10/8/2001,516,516,6801
13/8/2001,522.25,522.25,5788
14/8/2001,510.75,510.75,4791
15/8/2001,517.5,517.5,4682
16/8/2001,502.75,502.75,7528
17/8/2001,504.25,504.25,5241
20/8/2001,489.75,489.75,5263
21/8/2001,491.75,491.75,5687
22/8/2001,487.5,487.5,5160
23/8/2001,481.75,481.75,7885
24/8/2001,478.25,478.25,7774
27/8/2001,479.25,479.25,9747
28/8/2001,475.75,475.75,6252
29/8/2001,480.5,480.5,8718
30/8/2001,473.5,473.5,6419
31/8/2001,479.5,479.5,4041
3/9/2001,479.5,479.5,4041
4/9/2001,484.25,484.25,21459
5/9/2001,478.25,478.25,26656
6/9/2001,470.25,470.25,32258
7/9/2001,469.75,469.75,19790
10/9/2001,470,470,18660
11/9/2001,470,470,263
12/9/2001,470,470,263
13/9/2001,482,482,36659
14/9/2001,474,474,32360
17/9/2001,480,480,30811
18/9/2001,475,475,18768
19/9/2001,469.5,469.5,37743
20/9/2001,473.5,473.5,22035
21/9/2001,469.75,469.75,36376
24/9/2001,468,468,20084
25/9/2001,463.5,463.5,32776
26/9/2001,465,465,30021
27/9/2001,461.75,461.75,26890
28/9/2001,451.25,451.25,43882
1/10/2001,452,452,30434
2/10/2001,453,453,30703
3/10/2001,452,452,26971
4/10/2001,451,451,37664
5/10/2001,452.25,452.25,28779
8/10/2001,454,454,30846
9/10/2001,451.5,451.5,30876
10/10/2001,448.25,448.25,30577
11/10/2001,447.75,447.75,25633
